"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2023","66,473.05","66,381.24","66,591.89","66,311.31","16.76K","0.60%"
"10/10/2023","66,079.36","65,661.70","66,179.14","65,661.70","5.15K","0.87%"
"10/09/2023","65,512.39","65,560.07","65,789.98","65,434.61","7.27M","-0.73%"
"10/06/2023","65,995.63","65,867.54","66,095.81","65,762.33","10.18M","0.55%"
"10/05/2023","65,631.57","65,597.62","65,751.97","65,443.34","8.03K","0.62%"
"10/04/2023","65,226.04","65,330.48","65,330.65","64,880.66","8.64K","-0.44%"
"10/03/2023","65,512.10","65,826.35","65,826.35","65,344.74","8.65K","-0.48%"
"09/29/2023","65,828.41","65,743.93","66,151.65","65,570.38","8.43M","0.49%"
"09/28/2023","65,508.32","66,404.82","66,406.01","65,423.39","7.82K","-0.92%"
"09/27/2023","66,118.69","65,929.45","66,172.20","65,552.45","5.39K","0.26%"
"09/26/2023","65,945.47","66,074.04","66,075.52","65,865.67","6.50K","-0.12%"
"09/25/2023","66,023.69","66,084.95","66,223.94","65,771.99","6.80K","0.02%"
"09/22/2023","66,009.15","66,215.04","66,445.47","65,952.83","8.29M","-0.33%"
"09/21/2023","66,230.24","66,608.67","66,608.67","66,128.71","8.40K","-0.85%"
"09/20/2023","66,800.84","67,196.58","67,289.57","66,753.19","13.36K","-1.18%"
"09/18/2023","67,596.84","67,665.58","67,801.43","67,540.89","10.33K","-0.36%"
"09/15/2023","67,838.63","67,658.59","67,925.56","67,615.02","6.79K","0.47%"
"09/14/2023","67,519.00","67,627.03","67,771.05","67,336.46","8.09M","0.08%"
"09/13/2023","67,466.99","67,188.64","67,562.63","67,060.13","6.18K","0.37%"
"09/12/2023","67,221.13","67,506.88","67,539.10","66,948.18","8.75M","0.14%"
